#NAME	LK-P2	SB-P1	PM-P3	AW-SD2	UNZ-SD2	DH-SD2	BF-SD3	EP-SD1	AL-SD3	RK-SD1	BS-SD3	DSR-SD3	EK-P3	RvO-P2	KB-P1	WB-P1	NK-P3	IV-P2	GM11	EW-SD1	DG-SD1
Bacteria;10bav-F6;NA;NA;NA;NA	2	4	6	2	2	1	1	2	0	0	1	0	3	0	4	0	0	0	0	1	0
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium	0	2	1	0	2	0	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1
Bacteria;Acetothermia;Acetothermiia;NA;NA;NA	69	38	34	2	4	2	1	8	1	3	0	1	48	12	8	56	0	11	0	46	12
Bacteria;Acidobacteriota;Acidobacteriae;AKIW659;NA;NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA	9	14	2	5	28	28	0	20	0	26	16	4	4	0	6	3	0	2	0	5	1
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;TSBb06;NA;NA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;NA;NA	160	126	153	3	11	8	2	34	2	25	6	3	23	22	30	129	0	56	0	40	16
Bacteria;Acidobacteriota;AT-s3-28;NA;NA;NA	1	0	3	0	0	1	0	2	0	1	1	0	0	0	3	1	0	0	0	1	0
Bacteria;Acidobacteriota;c5LKS83;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Acidobacteriota;d142;NA;NA;NA	30	4	10	1	7	7	3	8	2	2	6	1	0	2	9	0	0	1	0	10	2
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter	1	0	0	11	75	29	0	5	0	0	1	0	0	0	4	0	0	0	0	0	0
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Thermotomaculum	0	0	0	0	1	3	5	7	3	1	0	1	0	1	1	0	0	2	0	1	2
Bacteria;Acidobacteriota;Subgroup 18;NA;NA;NA	3	3	1	0	3	2	0	3	0	1	0	0	0	0	3	1	0	0	0	0	1
Bacteria;Acidobacteriota;Subgroup 21;NA;NA;NA	43	48	26	2	13	12	3	17	3	2	8	5	25	24	17	34	0	19	0	30	11
Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA	2	8	8	0	2	3	1	10	0	1	8	2	4	2	18	11	0	1	0	4	2
Bacteria;Acidobacteriota;Subgroup 26;NA;NA;NA	1	1	0	0	4	1	0	5	0	1	0	0	0	0	1	2	0	1	0	4	0
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	1	4	3	5	12	6	0	4	0	0	18	7	0	0	10	5	0	0	0	6	6
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23	118	70	78	7	41	22	52	143	38	18	74	23	39	19	89	55	0	13	0	40	17
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;TPD-58	0	0	0	0	0	0	1	9	0	2	3	2	0	1	6	0	0	0	0	1	0
Bacteria;Acidobacteriota;Vicinamibacteria;11B-2;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 17;NA;NA	0	1	1	1	5	2	0	4	0	0	1	1	0	0	0	1	0	0	0	3	0
Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA	0	0	0	0	1	1	0	6	0	1	0	0	1	1	4	2	0	0	0	1	0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;uncultured;NA	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured;NA	32	76	79	16	23	17	0	22	3	17	48	22	11	9	33	55	0	15	0	20	12
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	7	36	22	5	9	7	1	11	3	14	12	5	7	0	19	26	0	7	1	7	5
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207	2	5	2	0	2	3	0	0	0	0	0	0	0	3	0	1	0	2	0	1	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	3	3	1	0	1	1	0	2	0	5	8	2	0	0	4	6	0	1	0	4	2
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;uncultured;NA	0	6	1	0	4	1	0	1	0	0	2	1	0	1	0	5	0	2	0	1	1
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina	0	0	0	0	3	3	1	2	1	3	14	2	0	0	0	0	0	0	0	12	7
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;PeM15;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicimonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;uncultured	0	2	2	0	1	0	0	0	0	2	1	0	1	0	0	3	0	0	0	2	0
Bacteria;Actinobacteriota;Coriobacteriia;CG2-30-50-142;NA;NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;OPB41;NA;NA	12	14	3	2	0	1	1	0	1	0	3	0	1	0	2	12	0	0	0	9	2
Bacteria;Actinobacteriota;RBG-16-55-12;NA;NA;NA	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	0	0	3	0
Bacteria;Actinobacteriota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured;NA	5	7	6	1	4	0	0	3	0	1	1	1	2	1	2	8	0	2	0	10	4
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;67-14;NA	2	11	5	1	1	1	0	2	1	0	0	0	2	1	2	14	0	3	0	4	5
Bacteria;Actinobacteriota;WCHB1-81;NA;NA;NA	9	13	4	1	2	6	2	2	2	3	0	2	1	4	5	8	0	2	1	4	2
Bacteria;AncK6;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;NA;NA	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Armatimonadota;DG-56;NA;NA;NA	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Armatimonadota;uncultured;NA;NA;NA	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	3	0	2	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;NA	1257	422	270	33	109	117	603	140	555	60	86	47	200	132	137	158	0	117	0	329	42
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;NA	19	13	6	2	2	1	1	1	1	1	1	0	0	1	3	7	0	4	0	5	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Ika33;NA	3	0	0	29	156	113	6	28	2	16	49	17	0	0	0	0	0	0	0	27	4
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;LKC2.127-25;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Marinifilum	5559	1923	1005	57	180	173	38	93	26	22	48	66	513	992	182	1231	1	800	0	2912	270
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;uncultured	175	64	57	5	10	13	1	3	0	1	4	7	64	240	14	48	0	112	0	55	4
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;[Cytophaga] xylanolytica group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Alkaliflexus	7	0	10	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Alkalitalea	63	12	13	1	2	3	0	1	0	0	3	1	4	10	5	31	0	11	0	7	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Anaerophaga	132	64	17	0	0	2	0	1	0	0	1	0	4	69	1	22	0	46	0	43	2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Carboxylicivirga	337	146	178	13	37	35	3	112	0	34	25	31	119	329	135	80	0	109	0	76	12
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Geofilum	60	3	6	0	0	2	0	0	0	0	0	0	0	4	0	6	0	9	0	13	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Labilibacter	6	3	1	0	4	2	0	0	0	1	0	1	0	2	0	4	0	2	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Mangroviflexus	57	4	1	0	0	2	0	0	0	0	0	0	0	4	0	4	0	10	0	11	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Marinilabilia	4	11	52	0	0	0	39	0	33	0	0	0	0	3	1	0	0	5	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;NA	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Natronoflexus	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Saccharicrinis	19	9	8	3	5	3	0	23	0	8	2	5	5	61	4	18	0	22	0	4	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured	2931	1033	569	36	132	103	104	84	90	31	67	76	408	215	151	626	0	333	4	773	113
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;NA;NA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;uncultured	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium	265	438	213	14	55	51	100	65	66	26	20	21	65	58	71	106	0	50	0	36	11
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;NA	1	21	1	1	3	3	1	2	0	3	2	0	0	4	2	4	0	2	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Prolixibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus	198	33	13	2	18	15	1	15	0	10	9	9	14	25	43	23	0	39	0	29	8
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Sunxiuqinia	11	26	25	4	12	8	1	26	0	6	13	6	11	12	2	21	0	1	0	7	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Tangfeifania	0	9	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured	339	314	79	12	15	15	22	44	12	9	8	7	23	107	47	111	0	64	0	39	6
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32	3	1	4	3	9	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
