file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	AvgQual	GC(%)
data/combined_data/barcode01.fastq.gz	FASTQ	DNA	60759	84356185	1	1388.4	7133	1409.0	1432.0	1456.0	0	1434	49.43	9.88	12.03	52.74
data/combined_data/barcode02.fastq.gz	FASTQ	DNA	78436	106781562	3	1361.4	3729	1388.0	1420.0	1441.0	0	1423	49.78	10.88	12.06	51.81
data/combined_data/barcode03.fastq.gz	FASTQ	DNA	28991	37302560	2	1286.7	3497	1282.5	1427.0	1457.0	0	1435	48.40	9.34	11.94	53.06
data/combined_data/barcode05.fastq.gz	FASTQ	DNA	4852	6716191	4	1384.2	3120	1391.0	1427.0	1457.0	0	1432	49.61	10.00	12.05	52.56
data/combined_data/barcode06.fastq.gz	FASTQ	DNA	17883	24671910	2	1379.6	3211	1387.0	1422.0	1454.0	0	1427	49.69	10.39	12.06	52.57
data/combined_data/barcode07.fastq.gz	FASTQ	DNA	18625	25580305	1	1373.4	4541	1384.0	1411.0	1448.0	0	1416	49.98	10.48	12.09	52.39
data/combined_data/barcode09.fastq.gz	FASTQ	DNA	12756	17124689	3	1342.5	3522	1376.0	1407.0	1435.0	0	1411	52.01	11.11	12.27	53.33
data/combined_data/barcode10.fastq.gz	FASTQ	DNA	15666	21590962	4	1378.2	4608	1389.0	1431.0	1461.0	0	1436	51.83	11.19	12.25	52.89
data/combined_data/barcode11.fastq.gz	FASTQ	DNA	15038	18630160	3	1238.9	8085	1130.0	1389.0	1422.0	0	1399	50.94	10.57	12.15	53.40
data/combined_data/barcode12.fastq.gz	FASTQ	DNA	7512	10025320	10	1334.6	3657	1367.0	1404.0	1442.0	0	1410	51.73	11.09	12.22	52.34
data/combined_data/barcode13.fastq.gz	FASTQ	DNA	11099	15111939	3	1361.6	3140	1384.0	1429.0	1457.0	0	1434	51.08	10.60	12.18	54.52
data/combined_data/barcode14.fastq.gz	FASTQ	DNA	6846	9383691	4	1370.7	3144	1384.0	1420.5	1455.0	0	1427	51.87	11.37	12.26	52.58
data/combined_data/barcode15.fastq.gz	FASTQ	DNA	14785	20509267	2	1387.2	3254	1404.0	1435.0	1463.0	0	1439	51.61	10.59	12.23	53.19
data/combined_data/barcode16.fastq.gz	FASTQ	DNA	18654	25863501	3	1386.5	4420	1405.0	1435.0	1457.0	0	1438	51.58	10.85	12.22	53.50
data/combined_data/barcode17.fastq.gz	FASTQ	DNA	16957	23494889	3	1385.6	3576	1397.0	1439.0	1467.0	0	1443	51.60	10.55	12.23	53.14
data/combined_data/barcode18.fastq.gz	FASTQ	DNA	30101	40492140	1	1345.2	4706	1383.0	1424.0	1452.0	0	1429	51.29	10.98	12.20	52.96
data/combined_data/barcode19.fastq.gz	FASTQ	DNA	3	4404	1421	1468.0	1518	1443.0	1465.0	1491.5	0	1465	63.35	14.92	13.08	52.23
data/combined_data/barcode20.fastq.gz	FASTQ	DNA	16945	22338534	3	1318.3	4814	1348.0	1422.0	1453.0	0	1429	51.17	10.79	12.18	53.01
data/combined_data/barcode22.fastq.gz	FASTQ	DNA	109	142007	41	1302.8	1595	1430.0	1449.0	1470.0	0	1455	48.55	9.59	11.89	54.70
data/combined_data/barcode23.fastq.gz	FASTQ	DNA	31428	42360283	3	1347.9	4211	1388.0	1422.0	1449.0	0	1426	49.25	9.80	12.02	52.90
data/combined_data/barcode24.fastq.gz	FASTQ	DNA	6169	8551391	4	1386.2	3117	1398.0	1426.0	1454.0	0	1429	49.18	9.70	12.01	53.32
